,original content,content
69,BabyShark是基于 Microsoft Visual Basic (VB) 脚本的恶意软件系列，用于收集敏感信息。该组件最早发现于2019年，用于针对美国国家安全智库，之后该组件也被用于从事核安全和朝鲜半岛国家安全问题的间谍活动。近日，研究人员捕获了一起APT-C-55(Kimsuky)组织利用IBM公司安全产品为诱饵投递BabyShark攻击组件的攻击活动，攻击者向目标投递恶意ISO文件，通过BAT脚本安装IBM公司安全产品，同时利用BAT脚本下载恶意载荷，收集目标主机信息。在此次攻击活动中，攻击者利用失陷域nuclearpolicy101[.]org向目标投递名为RapportSetup.iso的恶意文件，ISO文件内包含名为install.bat的恶意BAT脚本以及名为update.exe的 IBM Security Trusteer Rapport安全产品，执行恶意BAT脚本后会安装update.exe，但同时也会从C2下载恶意后门脚本以窃取目标信息。03疑似Sandworm组织利用RansomBoggs勒索软件攻击乌克,最近，一款名为“BabyShark”的软件被曝光，该软件疑似通过微软的VB脚本对用户信息进行了非法收集。该组件在2019年之前就已经被用于美国国家安全智库的活动中，后来还用于研究核武器安全和朝鲜半岛安全问题。最近，研究人员通过向目标主机投递攻击软件BabyShark的副本，成功破解了IBM公司的安全产品APT-C-55的防御。同时，还使用BAT脚本从目标主机中下载了恶意ISO文件。攻击者利用失陷的IBM Security Trusteer Rapport安全产品，向目标推送了名为RapportSetup.iso的恶意文件，其中包含名为install.bat的恶意BAT脚本以及名为update.exe的IBM Security Trusteer Rapport安全产品，并在执行恶意BAT脚本后，从C2下载了update.exe，以获取目标信息。最近，一支名为Sandworm的团队利用了名为RansomBoggs的勒索软件对一批乌克的学生进行了攻击。
70,据研究人员称，由俄罗斯国家支持的APT组织Sandworm可能是近期针对乌克兰的RansomBoggs勒索软件攻击的幕后黑手。Sandworm是一群活跃了至少二十年的俄罗斯精英黑客，且据说是俄罗斯GRU特殊技术主要中心 (GTsST) 74455部队的一部分。研究人员表示，新型勒索软件RansomBoggs基于.NET编写，一旦其进入受害者网络，将使用随机生成的密钥在CBC模式下使用AES算法加密文件，加密后文件扩展名更改为.chsch。此外，其部署方式与Sandworm组织的攻击方式相似。原因是用于从域控制器中部署RansomBoggs勒索软件的PowerShell脚本:POWERGAP，与Sandworm组织在2021年4月攻击能源部门中使用的脚本几乎相同。04Group123组织新后门Dolphin披,最近，一家名为Sandworm的俄罗斯组织被指控对乌克兰的RansomBoggs勒索软件进行了攻击，而这也可能是对俄罗斯国家支持的APT组织的反击。在近二十年里，俄罗斯的一群黑客一直活跃在网络世界，他们被称为GRU特殊技术研究部队的一部分。研究人员指出，新出现的勒索软件RansomBoggs是基于.NET编写的，并且在进入受害者的网络时，会使用随机生成的密钥对文件进行AES加密，加密后的文件名将变为.chsch。针对最近爆发的攻击事件，一些组织正在采取与Sand worm类似的手段来应对。最近，一家名为Sandworm的组织对一家能源公司的域控制器进行了攻击，使用了类似于PowerShell的脚本。此次攻击的原因是PowerPoint中对域控制器的依赖性。孩子们在参观新入学😉的学长时热情洋溢。
71,研究人员披露了Group123（ScarCruft）组织使用的一个以前未报告的新后门，并将其命名为Dolphin，该后门具有广泛的间谍功能，包括监控驱动器和便携式设备以及泄露感兴趣的文件、键盘记录和截屏以及从浏览器窃取凭据。它的功能是为特定定目标保留的，在使用较低级的恶意软件进行初始妥协后，会部署Dolphin后门到这些目标。与其他ScarCruft工具一样，Dolphin滥用云存储服务，特别是Google Drive来进行C&C通信。2021年初，Group123针对韩国媒体目标进行多阶段攻击。据报道，当时认为最终有效载荷是BLUELIGHT后门，但研究人员遥测发现一个更复杂的后门通过BLUELIGHT部署在特定目标系统上，即DolPhin后门。自2021年4月首次发现Dolphin以来，研究人员已经观察到多个版本的后门，其中威胁行为者改进了后门的功能并试图逃避检测。攻击行动或事件情报01伊朗攻击者针对美国智,最近，研究人员发现Group123组织利用了一个名为Dolphin的后门，该后门在间谍方面具有极强的功能，可以远程监控驱动器、便携式设备，甚至从浏览器中窃取敏感信息。伴随使用目标系统的较低级别的恶意软件，会向目标系统推送Dolphin后门。伴随学习计划的实施，学生利用Google Drive进行跨学科交流的案例越来越多，而且大部分人都选择了使用Google Drive存储和共享数据。韩国媒体在2021年初对目标对象进行了多次攻击，其中包括对Group123的攻击。最近，研究人员发现，通过BLUELIGHT后门，可以对目标系统上的后门进行更复杂的操作，从而实现对目标系统的有效载荷。近年来，随着对海洋生物的研究不断深入，人们对于海洋哺乳动物的了解也逐渐增长，其中一只名叫“海豚”的海洋生物引起了研究人员的关注。据报道，该海洋生物在近两年的时间里已经换了多个名字，原因是在其背后隐藏了一个重要的秘密：研究人员通过改进后门的性能，成功逃避了检测的制约。最近伊朗发生了一系列攻击行动，其中包括对美国智力的攻击。这些攻击都是针对美国在伊朗的军事行动。
72,近期，研究人员发现了一次网络钓鱼和后续凭据盗窃攻击，攻击者很可能是一个针对美国华盛顿研究所智囊团的伊朗组织。凭据盗窃组件伪装成由阿拉伯联合酋长国(UAE)政府主办的2022 Sir Bani Yas论坛的Microsoft注册表。该活动利用URL缩短器将受害者引导至凭据被盗的恶意页面，这种技巧在APT42和Phosphorus等APT组织中很常见。攻击者将假URL缩短器与合法缩短服务tinyurl[.]com结合使用，在钓鱼邮件中针对可疑目标使用合法的URL缩短器 (tinyurl[.]com)；如果目标点击了链接，他们将被重定向到伪造的短链接(tinyurl[.]ink)，并发送一个正常的诱饵文件“Iran nuke.docx”，借此与目标交互以进行下一部攻击。02攻击者通过MSI Afterburner针对Windows游戏玩,最近，一家名为“阿拉伯支票”的伊朗组织对美国华盛顿研究所的智囊团发起了一场网络钓鱼攻击，成功地盗取了其中的机密信息。阿拉伯联合酋长国政府举办了一场名为“2022 Sir Bani Yas”的会议，会上展示了来自世界各地的展品，其中包括了微软公司开发的Microsoft注册表。在ApT 42和Phosphorus等APT组织中，一种名为“URL缩短器”的技巧可以帮助受害者在访问恶意网站时快速跳过。攻击者利用合法的URL缩短器tinyurl[.]com，对目标网站进行了攻击，当目标点击了链接时，会收到一个合法的短链接“iran nuke.docx”，并被打扰为下一轮攻击。针对Windows游戏爱好者，一名攻击者使用了MSI Afterburner进行攻击。
73,最近，研究人员称Windows游戏玩家目前正成为虚假MSI Afterburner下载网站的攻击目标。MSI Afterburner是一个GPU实用程序，全球数百万游戏玩家使用它来调整设置以提高游戏性能。根据报告显示，在过去三个月中，已有超过50个冒充MSI Afterburner官方网站的钓鱼站点，攻击者通常在合法MSI Afterburner安装程序中捆绑XMR(Monero)矿工软件及信息窃取软件，最终实现在窃取用户密码的同时进行秘密挖矿活动。钓鱼网站下发的安装程序会进一步执行“install.exe”，并会在%Program files%位置释放一个名为“browser_assistent.exe”的文件并执行它。执行后，“browser_assistent.exe”注入自身并加载一个shellcode，该shellcode从GitHub存储库获取编码的XMR Miner二进制文件，并将其进一步注入到explore.exe中执行。03OPERA1ER组织攻击非洲银行和金融机,最近，一名研究人员发现，通过入侵一台运行Windows的游戏电脑，成功地对MSI进行了攻击。面向全球数百万游戏玩家的需求，MSI Afterburner 是一款强大的图形优化工具。最近三个月内，超过50个冒充MSI的网站已经被发现，攻击者通常通过在合法MSI安装程序中嵌入XMR（Monero）矿工软件和信息窃取工具来秘密挖掘用户的密码。在此情况下，当用户在网站上下载了安装程序并运行时，会在“%Program Files%”位置看到名为“browser_assistant.exe”的文件，并执行该文件。在这种情况下，当执行“browser_assistant.exe”时，它从GitHub存储库中获取了编码的XMR Miner二进制文件，并将其注入到explore.exe中执行。针对非洲银行和金融领域的攻击事件，一份报告指出了一系列措施。
74,2019年-2021年，研究人员检测到了某威胁组织针对非洲银行和金融机构的网络钓鱼系列活动。通过对活动的跟踪分析，推测该威胁组织是一个讲法语，具有经济动机的黑客集团。由于该组织经常使用OPERA1ER名称来注册域名，将其命名为OPERA1ER（也被称为DESKTOP、Common Raven）组织。OPERA1ER组织的初始访问手段通常为鱼叉式钓鱼邮件，其邮件主题涉及政府税务局、BCEAO（西非国家中央银行）或相关电子货币等领域。此外，该组织主要利用现有的工具包和Nday漏洞（例如CVE-2019-1405和CVE-2019-1322）实现对受害者网络的后续攻击。OPERA1ER在以往活动中被观察到部署的有效载荷包括：NanoCore、H-Worm（HoudiniWorm）、WSH Rat、Remcos、Adwind或QNodeJS、Cobalt Strike等。研究人员目前识别到OPERA1ER组织在2019至2021年间至少实施了30次攻击，且该组织至少获利了1100万美元。04Black Basta组织使用QBot恶意软件攻击美国公,在过去的两年里，研究人员对非洲银行和金融机构的网络活动进行了调查，并发现了一个可能的网络攻击活动。该组织通过追踪活动来学习法语，计划入侵目标系统。最近，该组织使用了OPERA1ER作为其注册域的名称，而OPENREPORT则被称为DESKTOP和Common Raven。在收收到有关政府税务局或中央银行的电子邮件时，可能会看到鱼叉式的钓鱼邮件。该组织利用现有的工具包和对Nday漏洞的攻击来对受害者网络进行后续攻击。在过去的活动中，纳塔科勒对各种方法的运用进行了观察，包括NanoCore、H-Worm、WSH Rat、Remcos、Adwind和QNodeJS等。在过去的三年里，一家名为OPERA1ER的组织对目标进行了30多次攻击，并赚取了1100万美元的利润。最近，一支名为“黑狗队”的团队利用一款名为“QBot”的智能机器人对美国的一所大学进行了突袭。
75,研究人员表示，Black Basta组织正通过投放QBot恶意软件(也称为QakBot、Pinkslipbot）针对美国公司开展广泛的勒索攻击活动。QBot恶意软件是一种银行木马，可用于窃取银行数据，包括浏览器信息、击键和凭据等用户系统信息。Black Basta勒索团伙于2022年4月首次浮出水面，执行Raas操作且采用双重勒索策略，此前主要针对美国、加拿大、英国、澳大利亚和新西兰的组织。该组织在本次活动中首先利用钓鱼邮件使用户系统感染可安装后门程序的QBot木马。攻击者然后通过植入的后门加载Cobalt Strike恶意软件，最终部署Black Basta勒索软件和其他恶意软件。05研究人员发现针对中东个人和企业的网络钓鱼活,最近，一家美国公司因为遭受了Black Basta组织的黑客攻击，而不得不面临严重的勒索行为。黑客使用的软件是名为QakBot或Pinkslipbot的QBot攻击工具。最近，一款名为“Bot”的恶意软件入侵了银行的网络，并窃取了用户的敏感信息，包括银行账户信息、😉等。最近，一支来自美国、加拿大、英国、澳大利亚和新西兰的😉勒索团队开始活动，并采用了一种名为Raas的操作策略，对目标国家实施了针对性的攻击。在这次活动中，该组织利用了名为“QBot”的机器学习算法，对用户的邮件进行拦截，并成功感染了目标系统。一位攻击者利用😉的方式，向目标计算机注入了Cobalt Strike病毒的副本，随后发动了攻击，成功入侵了该计算机，并安装了Black Basta病毒和其他恶意软件。最近，一支来自中东的研究小组对网络钓鱼活动进行了调查，并发现了中东地区个人和企业面临的一个重要问题。
76,研究人员近期发现一组网络钓鱼域名，并表示攻击者正在战略性地购买、注册一些域名，针对中东的旅游、石油和天然气、房地产投资等多个行业进行网络钓鱼活动。此外，研究人员还发现了一些用于诱骗受害者的骗局，攻击者利用虚假的工作、投资机会欺骗受害者。在发现的所有域名中，有些只启用了电子邮件服务器，而另一些则设置了网站来使受害者认为它们是合法的。在研究人员分析的35个网络钓鱼域名，其中90%的目标是阿布扎比国家石油公司（ADNOC）、沙迦国家石油公司（SNOC）和阿联酋国家石油公司（ENOC）。恶意代码情报01ViperSoftX信息窃取器分,最近，一位研究人员发现了一些网络钓鱼活动，这些活动旨在攻击中东地区旅游、石油和天然气行业的公司，同时涉及房地产投资等业务。最近的研究表明，一些人利用虚假的工作和投资计划来欺骗受害者，从而进行诈骗活动。有些网站是利用电子邮件服务器来宣传的，而另一些网站则以某种方式让受害者误以为它们是合法的。近三分之一的网络钓鱼目标来自阿布扎比国家石油公司（ADNOC）、沙迦国家石油公司（SNOC）和阿联酋国家石油公司（ENOC）等地。近期的消息显示，一家名为ViperSoftX的公司正在研发一款能够窃取其他公司信息的设备。
77,ViperSoftX是一种多级窃取器，于2020年首次被报道。其主要通过Adobe Illustrator、Corel Video Studio、Microsoft Office等破解软件站点传播。ViperSoftX可用于窃取加密货币、对受感染机器进行指纹识别，以及下载和执行额外有效负载等。ViperSoftX分发的有效负载之一是一种特定的信息窃取器，其形式是基于Chromium的浏览器扩展，该恶意扩展能够执行浏览器中间人攻击，即通过篡改流行加密货币交易所的API请求数据来执行加密货币地址交换，窃取凭证和剪贴板内容等。目前，ViperSoftX活动分布在世界各地，受影响最严重的国家依次是印度、美国和意大利。02攻击者利用TikTok的热门挑战活动传播恶意软,早在2020年，就有报道称 pltier 是一种多级窃取器。如何在网络上传播一张海报？在这种情况下，可以通过使用ViperSoftX软件来轻松地窃取加密货币、对感染的机器进行指纹识别，以及下载和执行其他有用的负载来满足需求。在这种情况下，ViperSoftX的恶意浏览器扩展对 Recommender API 进行了攻击，通过更改流行加密货币交易所的 API 请求数据来窃取凭证、内容等数据。近年来，随着科技的发展，越来越多的国家参与到了ViperSoftX的活动当中，其中印度、美国和意大利是受到影响最大的国家。最近，一名攻击者利用了TikTok的挑战活动，成功地散播了恶意软件。
78,攻击者正在利用TikTok的热门挑战活动“Invisible Challenge”传播恶意软件，窃取受害者的密码信息。分析发现，攻击者利用该挑战传播的是一种虚假的程序，并利用该程序在受害者计算机中部署WASP Stealer窃密木马，能够窃取存储在浏览器中的密码、加密货币钱包密码、Discord账户密码和信用卡信息，甚至是计算机中的文件。研究人员发现攻击者发布的两个TikTok宣传视频迅速累积了超过100万的总播放量，且攻击者的Discord服务器曾一度拥有大约32000名成员。Discord服务器上有攻击者发布的指向托管虚假程序的Github链接，该Github项目目前已经拥有103颗星和18个分支。03Emotet使用Lnk文件攻击，最终部署勒索软,最近，一名攻击者利用了😉 的 TikTok 活动“Invisible Challenge”，成功窃取了受害者的密码信息。最近，一名攻击者利用一台计算机成功破解了某个安全系统，并窃取了其中的多个敏感信息，包括用户的密码、加密货币钱包的私钥、Discord账户信息，甚至还包括了计算机中的文件。最近，一名研究人员发布了两段针对目标群体的TikTok视频，不到一个月的时间里，视频总播放量已经突破了100万。此外，攻击者的Discord服务器曾经拥有超过32000名成员。在过去的几个月里，一个名为“攻击者”的账户在Discord上发布了一系列指向一个😉的Github链接，这些链接都指向了托管的虚假程序。目前，该Github项目已经拥有了103颗星和18个分支。未能阻止😉
79,2022年6月，研究人员观察到一个威胁行为者通过Emotet获得了对环境的访问权并运行了八天，最终部署勒索软件执行。本次攻击活动中，攻击者使用LNK文件作为攻击入口，用户双击后执行编码的Powershell命令将Emotet DLL下载到计算机上。随后Emotet DLL会进行持久化操作，并通过发送垃圾邮件继续传播。第二天，Emotet下发Cobalt Strike至受害者系统。期间，攻击者使用Cobalt Strike进行了多轮枚举和横向移动。远程访问工具用于命令和控制，例如Tactical RMM和Anydesk。威胁参与者的最终行动包括使用Rclone进行数据泄露和在域范围内部署Quantum Ransomware。漏洞相关01Windows IKE协议扩展远程代码执行漏洞(CVE-2022-34721)安全风险通,研究人员在202年6月成功地向一名攻击者发出了关于环境的通知，并在接下来的八天里持续运行，最终成功执行了勒索软件的攻击。在这种攻击活动中，攻击者利用了LNK文件作为攻击入口，并在用户双击后执行了Powershell命令，将Emotet DLL下载到了计算机上。最近收到一份来自Emotet的邮件，上面写着他们将进行持续的推送更新，并在邮件中发布了相关内容。近期的消息传来，一名学生在校内被枪击，引起了人们的关注。在过去的几个月里，一名攻击者利用了Cobalt Strike框架进行了一系列的攻击行为，包括发起全局攻击和横向移动。远程访问工具可以用于远程控制和操作，如Tactical RMM和Anydesk。在当前的网络安全环境下，隐私泄露和数据泄露问题已经十分严重，而随着量子计算技术的快速发展，未来的隐私安全问题也将面临巨大挑战。因此，在保护个人数据安全方面，需要采取相应的措施，如对数据进行加密、限制数据访问范围等。最近，一位用户发现了一个与Windows IKE协议有关的远程代码执行漏洞（CVE-2022-34721），对此表示担忧。
80,IKE协议是一份符合因特网协议安全（IPSec）标准的协议。因特网密钥交换协议是结合了两个早期的安全协议而生成的综合性协议。近日，奇安信CERT监测到Windows IKE协议扩展存在远程代码执行漏洞，此漏洞允许远程攻击者在系统上执行任意代码。IKEEXT在处理IKEv1数据包时，没有对用户输入进行充分验证，未经身份认证的远程攻击者可通过向受影响的系统发送特制的IKEv1数据包触发漏洞，并执行任意代码。目前，此漏洞细节及PoC已在互联网公开，且存在在野利用，奇安信CERT已复现此漏洞。鉴于该漏洞影响范围较大，建议尽快做好自查及防护。点击阅读原文至ALPHA 5.0即刻助力威胁研,IKE（Interagional Information Exchange）协议是网络通信安全领域的一个重要的协议，它被广泛应用于互联网上的安全通信。基于网络的安全需求在不断增长，因此于2001年引入了名为“Secure Network”的安全协议，并在之后的几年中不断进行了改进和扩展。如今，安全网络已经成为了网络安全的一个重要领域，而其中的核心协议——Secure Network，则是在多个安全协议的基础上构建的。最近，奇安信CERT发现了一个与Windows IKE协议扩展有关的远程代码执行漏洞，该漏洞允许攻击者远程执行任意代码。未能通过身份验证的远程用户可能会向目标系统发送特制的IKEv1数据包，触发漏洞，并执行相应的攻击行为。最近，一家公司发布了一则有关网络漏洞的消息，指出了一种被利用的漏洞，并且已经进行了演示。针对该漏洞的严重性，建议采取主动措施进行防御和修复。欢迎来到ALPHA 5.0版本，它将带来更加令人兴奋的体验。
81,APT-C-09（摩诃草）（又称白象、Patchwork、Dropping Elephant）是一个疑似具有南亚国家背景的APT组织，从2015年至今，该组织一直处于活跃状态，长期保持着针对巴基斯坦等周边国家的政府、医疗、军事、科研等领域的网络攻击活动。该组织善于抓住热点事件及政府工作会议作为诱饵，并采用鱼叉式网络攻击手段投递攻击载荷。本次攻击中，该组织投递带有CVE-2017-11882漏洞的恶意RTF文档，以“2022年总理赈灾基金”和“跨部门研讨会 - AML/CFT报名表格”为诱饵进行伪装，释放“BADNEWS”最新变种木马程序进行窃密行动。此外，本次攻击活动主要以巴基斯坦为攻击目标，载荷加入了巴基斯坦时区校验以及更可靠的加密方式，并且ShellCode加入反调试手段。02疑似APT42入侵美国政府网,最近几年，巴基斯坦政府一直致力于打击来自周边国家的网络攻击行为，特别是在对印度、巴基斯坦等国家的攻击事件中。除此之外，一个名为APT-C-09的组织也在进行着类似的网络活动，从2015年开始就一直在与巴基斯坦及其周边国家的政府、医疗、军事和科学研究领域进行网络攻击活动。在当前市场情况下，该组织计划通过举办政府会议和关注热点事件来吸引投资者的注意，同时采用鱼叉式网络攻击手段投递攻击载荷。该组织在攻击中使用了CVE-2017-11882漏洞的RTF文档，并以“2022年总理赈灾基金”和“跨部门研讨会 - AML/CFT”为名义发送了“BADNEWS”的最新变种木马程序。最近，一家公司对巴基斯坦进行了网络攻击，原因是对其代码进行了加密，以防止被反审。此外，还加入了巴基斯坦时区的载荷，以提高攻击的可靠性。ShellCode也对反调试措施进行了加强。最近，一名学生成功入侵了美国政府网站，使用了学名为“apt42”的计算机进行入侵。
82,APT42被认为是APT35组织的一个子集，它使用高度针对性的鱼叉式网络钓鱼和社会工程技术。近日，网络安全和基础设施安全局 (CISA) 的最新消息称，从2022年6月中旬到7月中旬，疑似APT42组织利用未修补的 VMware Horizon 服务器中的 Log4Shell 漏洞针对美国联邦民用行政部门 (FCEB) 系统进行初始访问，然后利用powershell下载后续攻击载荷，安装 XMRig 加密挖掘软件，横向移动到域控制器 (DC)，破坏凭据，然后植入 Ngrok 反向代理在多个主机上以保持持久性。03Kasablanka组织LodaRAT恶意软件分,在这种情况下，学生可以利用😉学习到了APT42，并且还学习了如何通过鱼叉式网络进行社交工程。最近，网络安全和基础设施安全局（CISA）发布了一则消息，指出联邦民防部门（FCEB）系统可能受到未修补的VMware Horizon服务器中的Log4Shell漏洞的影响，从6月中旬开始，到7月中旬期间，攻击者可能通过利用powershell下载后续攻击载荷，并在多个主机上安装XMRig加密挖掘软件，从而横向移动到域控制器（DC），破坏凭据，并植入Ngrok反向代理。Recommending LodaRAT to your computer to install the malicious software.
83,研究人员发现了Kasablanka组织LodaRAT恶意软件的新变种，其行为变化包括添加了感染附加的可移动存储设备的功能，添加了新的字符串编码算法等。LodaRAT其基于AutoIt编写，且存在许多未经过混淆的样本，因此攻击者使用AutoIt反编译器可以获得其源代码，这导致LodaRAT可在短时间内出现众多新变种。此外，易于访问源代码的特点使得对LodaRAT功能感兴趣的其它组织更具吸引力。在一些案例中，LodaRAT已被观察到与某些恶意软件（如RedLine、Neshta和以前未记录的名为S500的VenomRAT变体等）同时进行部署。04WatchDog黑客组织持续瞄准东亚云服务,最近，研究人员发现了一种名为Kasablanka的攻击性木马软件的新变种，它对行为进行了更改，包括添加了感染移动存储设备的功能和新的字符串编码算法等。近期的安全漏洞使得LodaRAT面临了严重的威胁，因为黑客成功破解了AutoIt的源代码。在此情况下，对LodaRAT的攻击者可以轻松地获取源代码的副本。开放源代码的LodaRAT项目吸引了很多对它感兴趣的机构。LodaRAT在近期的案例中与一些恶意软件如RedLine、Neshta和S500 VenomRAT有关联，这些恶意软件可能会对计算机系统造成影响。在东亚地区，一家名为WatchDog的网络安全公司正在积极研发云服务。
84,研究人员最近发现有关黑客组织WatchDog的活动重新出现在视野中。WatchDog是一个著名的机会主义者，其经常对各种云服务提供商托管的资源进行加密劫持攻击，且攻击者似乎主要利用配置错误的云实例获取初始访问权限。此前关于WatchDog组织的报告显示，其采用了一种独特的技术，即利用简单的shell脚本替换常见的系统实用程序（如top和ps）。同样的技术也出现在此次活动的有效载荷中。根据活动中存在的恶意shell脚本和Monero钱包ID，研究人员将本次攻击活动归因于WatchDog组织。此外，脚本的某些部分专门用于检索和设置矿工软件：XMRig，该恶意软件以文件名“zzh”保存，并在受感染系统的/tmp目录下运行。目前，WatchDog仍然活跃，并对腾讯和阿里云等云服务提供商的用户构成重大威胁。攻击行动或事件情报01疑似中东某国情报部门针对也门开展间谍活,"最近，一支名为WatchDog的黑客团队引起了人们的关注。最近，一名狂热的程序员对云服务提供商进行了黑客攻击，并通过非法的方式获得了对云实例的访问权限。最近，WatchDog组织发布了一份报告，宣布他们采用了一种新方法，用简单的shell脚本替换了传统的系统实用程序，如top和ps。参加这次活动的😉人带着他们的宠物狗去了。经过上述攻击活动，可以确认是WatchDog组织的。最近，一款名为“zzh”的恶意软件感染了用户的计算机，该软件来自一个名为“/""的目录。最近，WatchDog的活跃度很高，对腾讯和阿里云等云服务提供商造成了很大的压力。最近，一支来自中东国家的情报部门团队前往也门，进行了一项针对中东地区的严密情报搜集工作。"
85,2022年3月30日，在海湾合作委员会（简称“海合会”）主持下，由也门国内多方参加的解决也门问题磋商会（简称“利雅得磋商”）正式开始。在此期间，研究人员发现了一起围绕“利雅得磋商”事件开展的移动端网络攻击活动。活动主要针对参会的也门记者和媒体人士，且受害者主要分布在西亚和北非的阿拉伯国家和地区，其中也门的受害者最多。攻击者主要通过将攻击样本伪装成海合会为也门提供支持计划、沙特也门开发和重建计划等的相关应用程序，再借助WhatsApp、短信、邮件等方式对特定人群发送钓鱼消息，诱导目标安装SpyNote商业间谍软件。通过开源情报得知，攻击者疑似为中东某国情报部门。另外，通过对此次攻击的网络基础设施进行扩线关联，活动和今年8月份发布的《Kasablanka组织向Windows和Android平台发起攻击》情报中的事件存在关联。02针对中东国家的钓鱼攻击在世界杯前激,在海湾合作委员会的支持下，来自也门国内的各方于3月30日展开了利雅得磋商的讨论，旨在解决该地区面临的问题。最近，一支研究团队发现了一些与😉有关的事件，并对其进行了调查。在这种情况下，来自西亚和北非的阿拉伯国家地区的媒体和新闻从业者数量最多，主要受到也门事件的影响。最近，一名攻击者利用沙特阿拉伯的SpyNote软件，对目标人群发送了钓鱼邮件、消息和😉等通知，同时还在WhatsApp上发布了一篇宣传文章，以支持他们入侵行动。最近收到一份来自中东国家情报部门的邀请，他们正在调查一起网络攻击事件。在今年8月份，一家名为Kasablank的组织对Windows和Android平台发起了攻击，并对此进行了网络扩线支持。卡塔尔😉 在世界杯即将到来之际，中东国家的人们对😉投掷鱼雷的行为进行了谴责。
86,根据最新研究，随着卡塔尔世界杯的来临，针对中东地区的基于电子邮件的网络钓鱼活动较10月份翻了一倍。其中许多电子邮件声称来自国际足联（FIFA）或者售票处，也有部分冒充特定的球队经理、FIFA实施禁令的通知、世界杯官方合作伙伴等。攻击者通过使用与比赛相关的各种诱饵瞄准受害者，其主要目标包括进行金融欺诈、凭据收集、数据泄露、间谍行动等。此外，研究人员发现了多种针对中东国家的恶意软件家族，例如Qakbot、Emotet、Formbook、Remcos和QuadAgent等。Trellix预测，此系列钓鱼攻击活动将持续到2023年1月。03DEV-0569组织分析报,在卡塔尔世界杯即将到来之际，中东地区收到的一封电子邮件数量已经增加了一倍。在此事件中，有一部分电子邮件声称来自国际足球联合会（FIFA），或者😉是世界杯官方合作伙伴或球队经理。不过，这些信息都是假的，可能是因为😉没有确凿的证据支持。攻击者通过利用与比赛相关的信息、欺诈手段、数据收集和间谍活动等手段，对目标人群进行了有针对性的攻击。近年来，随着网络的快速发展，中东国家的人们也面临着越来越多的网络安全问题，其中一些恶意软件家族如Qakbot、Emotet、Formbook、Remcos和QuadAgent等，对当地用户造成了极大的困扰。近期的网络攻击活动可能会对用户的网络安全造成影响，因为三家公司计划在未来一年内对他们的钓鱼活动进行打击。针对近三个月的活动，我们做了很多工作，包括举办会议、开展调查研究等。这些活动都是针对公司业务的。
87,研究人员发现DEV-0569 威胁行为者最近的活动导致了 Royal 勒索软件的部署。DEV-0569特别依赖恶意广告、网络钓鱼链接，这些链接会通过冒充软件安装程序或嵌入在垃圾邮件、虚假论坛页面和博客评论中的更新等方法进行传播。研究人员观察到该组织的一些交付技巧调整如下：使用目标组织网站上的联系表来提供网络钓鱼链接在看似合法的软件下载站点和合法存储库上托管伪造的安装程序文件，使恶意下载看起来对目标来说是真实的通过使用 Google Ads 来扩展他们的恶意广告，有效地融入正常的广告流量其恶意链接指向BATLOADER下载器，且伪装成 Microsoft Teams 或 Zoom 等合法应用程序的安装程序或更新程序。此外，研究人员还观察到使用虚拟硬盘 (VHD) 等文件格式来冒充第一阶段有效载荷的合法软件。这些 VHD 还包含导致下载 DEV-0569 的恶意软件负载的恶意脚本。04研究人员发现一个窃取加密货币的网络钓鱼活,最近，一位研究人员发现了一些名为DEV-0569的设备正在运行着被指控为侵犯皇家版权的软件。近期的网络广告、垃圾邮件和虚假网站都存在严重的恶意行为，这些行为可能会对用户的隐私产生负面影响。在此情况下，通过冒充软件安装程序或嵌入在垃圾邮件、虚假论坛和博客评论中，这些恶意链接得以传播。最近，一家公司对他们的软件进行了调整，以提高其网络钓鱼能力，这使得目标网站上的软件下载页面更加逼真，甚至能够欺骗用户下载恶意软件。此外，该公司还利用Google Ads来推广其恶意软件，以吸引更多的用户。这些恶意链接都是伪装成合法应用程序的安装程序或更新，旨在欺骗目标用户，让它们相信这些软件是合法的。在此之前，研究人员已经发现了一些软件在尝试使用虚拟硬盘（VHD）等文件格式时会触发第一阶段的有效载荷检测。由于下载了名为“dev-0569”的VHD文件，用户可能会面临到恶意软件的攻击。研究人员发现了一种可以窃取加密货币的网络钓鱼方式。
